#{"t_start": 1760612182.2635891, "env_id": "None"}
r,l,t
-16.386783,94,843.556576
-15.429308,52,844.838181
-12.521936,15,845.26113
7.089089,93,847.61432
-12.514142,16,848.022429
-12.637408,11,848.321163
-12.813227,16,848.57129
-16.767963,57,849.974387
-13.053245,18,850.62022
-12.785206,19,851.061826
-17.224661,75,852.89904
-12.453849,13,853.233562
-16.069452,69,854.926997
-12.089723,7,855.116138
-12.765011,20,855.622334
-12.993533,16,856.222971
11.561778,39,857.153461
-13.207807,32,857.973274
-12.515914,11,858.279873
12.362292,23,858.887767
-14.433945,66,860.512408
-12.849568,15,860.877387
-13.828161,34,861.727691
-11.504245,18,862.186095
-12.708358,14,862.548364
-12.744622,17,862.985651
-13.217535,39,863.952731
-12.590169,13,864.287654
-13.064226,35,865.158511
-12.49975,11,865.445236
11.138087,22,866.000792
-18.784313,109,868.681835
12.630532,15,869.06641
-31.019267,256,875.303294
-14.006315,46,876.439596
12.327686,10,876.701417
6.932595,106,879.34173
-14.700223,65,880.983839
-17.790494,88,883.144919
1.86806,148,886.77789
-12.283378,8,886.991179
-12.752817,23,887.578135
11.043409,33,888.402124
-11.651177,6,888.587056
-17.904557,90,890.829081
-93.723245,275,897.567946
-16.469826,89,899.738134
-12.802154,25,900.393771
-12.639215,12,900.713936
-12.959304,31,901.486411
10.830912,24,902.08856
-20.053643,100,904.537171
10.761304,39,905.50689
-12.955141,25,906.139741
-13.612023,48,907.331895
-34.447183,164,911.333733
-12.406678,9,911.553179
-15.107625,45,912.847703
9.937385,53,914.119606
-15.964827,65,915.75063
12.141409,14,916.133263
11.983145,16,916.545928
-18.673514,94,918.870095
12.069954,19,919.353758
11.122379,66,921.170425
-18.655048,153,924.931391
-38.375184,203,929.985046
-12.26305,10,930.248742
11.675716,30,931.000041
-18.231516,78,932.972709
-14.856298,42,934.007502
-13.470254,27,934.683877
8.655669,96,937.032814
-12.32943,9,937.271147
12.176528,18,937.730412
-12.336025,10,937.992615
-12.459155,23,938.599768
-12.238785,25,939.256577
11.659156,21,939.799846
-17.379055,82,942.055274
-16.375803,68,943.766
-22.57432,84,945.836271
-24.483693,233,951.563406
-15.513023,56,952.930038
11.835581,18,953.38738
-12.989746,27,954.064831
-51.13798,207,959.129113
-16.192059,91,961.352031
-12.554795,22,961.909174
12.151481,12,962.219941
-12.431642,14,962.578101
-12.119461,7,962.769194
-11.85744,27,963.44127
-12.872019,35,964.319977
-17.308248,109,967.007981
11.426493,30,967.753847
12.612132,20,968.258575
-23.056359,86,970.389826
-13.017382,37,971.305219
-16.903209,97,973.875241
-24.280042,28,974.553931
-12.324007,12,974.864236
11.231088,41,975.878561
11.067554,37,976.794199
-14.304802,60,978.294869
-21.744048,209,983.370952
-20.937641,186,987.862854
-12.613553,16,988.271995
-12.860757,19,988.718034
11.853225,15,989.095369
-18.961311,153,992.807052
-12.411939,10,993.25124
7.904544,113,995.981567
8.80816,97,998.422098
-12.693711,28,999.135893
-13.668656,23,999.722159
-12.896886,17,1000.155056
11.717657,13,1000.490946
-23.91675,90,1002.701206
13.086215,41,1003.721272
-17.205603,99,1006.159403
-19.902882,126,1009.261064
12.106921,17,1009.692162
10.894949,47,1010.88208
10.308804,48,1012.251941
-22.446775,214,1017.488701
-16.2311,76,1019.360453
5.980902,145,1022.921118
12.166638,21,1023.456694
12.03167,11,1023.744359
11.210539,33,1024.563984
-12.407116,8,1024.779039
-14.963773,47,1025.986802
7.981461,85,1028.076454
-12.630561,12,1028.394156
-12.94557,18,1028.863971
-13.001893,20,1029.37119
12.291645,11,1029.659369
-17.476678,122,1032.642543
-12.516554,10,1032.905912
-12.452625,9,1033.144065
11.965778,17,1033.57727
-12.994205,17,1034.008539
11.816548,14,1034.368376
-12.911136,24,1034.972076
6.879197,116,1037.787474
-15.642868,86,1039.909194
-16.047994,60,1041.391624
-12.375111,8,1041.604715
-13.63776,22,1042.156249
10.049547,82,1044.364622
11.933066,34,1045.167263
11.683028,14,1045.52554
-21.364562,127,1048.631435
6.356444,158,1052.486911
8.4144,103,1055.01261
-14.161041,37,1055.937769
11.646382,16,1056.344231
-13.221184,26,1056.993798
-12.841816,19,1057.48247
-36.585306,180,1061.91226
-12.892321,20,1062.317445
-12.06575,10,1062.582592
-13.399731,42,1063.605848
12.827239,39,1064.552196
-13.486918,46,1065.694312
-13.662515,34,1066.720648
11.366762,40,1067.656897
-14.33806,70,1069.375496
-11.871803,20,1069.88142
-14.393832,50,1071.13009
-12.576108,19,1071.614298
10.429408,68,1073.288918
-12.412223,10,1073.55292
11.791727,17,1073.98793
11.93192,16,1074.543236
-25.137506,168,1078.67965
11.679785,14,1079.001219
-12.698089,13,1079.215538
-12.248796,10,1079.479121
-16.12935,67,1081.132407
-12.594941,13,1081.469705
-13.273765,61,1082.98243
-24.277473,203,1088.034085
-12.516795,18,1088.47332
-12.301666,11,1088.767864
-29.38592,411,1098.813988
11.587181,20,1099.279017
-17.237406,104,1101.844057
-13.605373,41,1102.861404
-11.391871,13,1103.196644
-12.148216,6,1103.383155
11.694153,26,1104.055077
9.919625,52,1105.350505
-17.682025,92,1107.607725
-13.022332,22,1108.162585
12.188546,18,1108.619913
-33.191949,177,1112.971816
-12.781661,14,1113.312255
-13.08879,33,1114.144345
-14.233383,59,1115.600337
-16.303837,82,1117.631351
-12.889285,54,1118.982091
11.782913,16,1119.398395
-12.237782,7,1119.599463
-12.489014,11,1119.905057
10.803755,32,1120.710326
11.369115,57,1122.13466
-14.525571,69,1123.823797
-15.425928,60,1125.30522
12.119658,23,1125.883421
12.189988,15,1126.267455
-13.053603,25,1126.891822
12.17035,15,1127.273882
11.975802,11,1127.561913
9.07155,49,1128.768775
11.774932,11,1129.058382
-15.654186,60,1130.546923
9.47564,69,1132.242112
-24.720421,239,1138.078917
10.736666,40,1139.065715
-20.262514,411,1149.107996
12.009593,39,1150.086372
11.668954,16,1150.497022
-20.809198,182,1155.060856
12.043178,14,1155.447728
-12.913619,22,1156.031331
7.028597,156,1159.8477
-12.691679,15,1160.212695
-18.306349,131,1163.417268
-13.018994,29,1164.141579
-12.425711,21,1164.669981
-12.288037,17,1165.104431
-13.9674,48,1166.291016
-12.838674,19,1166.783831
-12.453494,13,1167.157525
-22.733923,164,1171.174271
-19.313442,144,1174.697154
11.831837,38,1175.664261
-12.359733,9,1175.904657
11.459745,28,1176.605188
-14.989051,69,1178.322247
11.764428,28,1179.196813
10.782424,28,1179.87533
-12.675143,17,1180.3098
8.515023,101,1182.788615
-12.670581,16,1183.196802
-18.79873,130,1186.381434
-14.175182,38,1187.513775
-12.72176,26,1188.140459
-12.62059,18,1188.600362
9.962411,60,1190.080256
-12.669603,13,1190.415072
-12.389319,8,1190.630224
-13.176914,23,1191.126222
8.767895,95,1193.436983
12.097855,25,1194.247026
-12.732461,18,1194.665078
11.279953,39,1195.63346
12.385507,18,1196.089578
12.141895,26,1196.739002
-12.413794,11,1197.024061
-13.317569,46,1198.165692
-12.280212,11,1198.455283
-13.895688,35,1199.329484
7.495684,99,1201.753232
-12.765226,13,1202.091619
-12.387289,28,1202.791568
-14.699207,64,1204.368063
11.85883,28,1205.071626
-12.073014,20,1205.575931
-13.446659,33,1206.396995
9.424354,76,1208.291453
12.385869,18,1208.789352
-19.521442,168,1212.573304
11.390213,28,1213.269479
-13.654796,55,1214.630448
-72.202439,412,1224.66436
4.735899,164,1228.665569
-13.556209,46,1229.807661
8.726189,72,1231.580264
11.869938,14,1231.948256
-14.785502,77,1233.850726
-14.223281,48,1235.07737
-12.813344,15,1235.462796
11.692161,23,1236.045499
-12.562762,18,1236.507693
-13.955423,46,1237.654248
12.063865,21,1238.183369
-12.450188,15,1238.577955
12.187547,21,1239.118766
-11.232419,30,1239.868373
10.897974,72,1241.636461
-12.31328,14,1241.996604
12.240555,15,1242.381359
-12.701653,30,1243.127967
-32.055168,232,1248.84629
-12.987108,20,1249.35087
-12.676739,23,1249.927052
10.796794,34,1250.769147
-17.109227,134,1254.030437
12.29846,15,1254.394192
-15.414693,63,1255.972711
-16.903577,165,1260.075028
12.41796,16,1260.496504
-13.1976,22,1261.072896
-12.516164,17,1261.502502
10.136985,74,1263.332218
-12.873422,18,1263.814801
12.138373,16,1264.237824
11.999225,14,1264.596931
-15.505511,74,1266.409714
12.291314,29,1267.131262
